Asset #,Serial Number,Vendor,Desktop Model,Location,Details,IP Address,Operating System,Configuration ID,Invoice Date,Warranty Expiry Date,Warranty Expired,PO #,Invoice #,Cost Centre,Purchase Price,Purchasing Approved,Status,has the service tag,output,orig.order,,,Serial Number,,,Company Name Billing,Company Name Shipping,Customer Num,PO Num,Dell Order Number,Master Inv Num,Invoice Num,Group Desc,Product Desc,Brand Desc,Item Num,Item Long Name,System Qty,Order Qty,Total Rev Retail USD,Total Rev Disc USD,Freight Charges,Sales Tax USD,Vat Amt Local Currency,Order Status Desc,Order Date,Ship By Date,Shipped Date,Inv Date,Service Tags,,Serial Numberfootprints
US01983,FV9X322,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.148.149.113,Microsoft Windows 7 Professional x64,CPL,,12/31/2017 23:59,Active,,,,,,9,733,"C9DY322,FV9X322",391,9,,FV9X322,fv9x322,FV9X322,CLINICAL PATHOLOGY LABORATORIE,CLINICAL PATHOLOGY LABORATORIE,137995733,CPL-189648,163176034,10131675388,10131675388,EUC Mobility,Latitude,LATITUDE E7470,210-AETL,"Dell Latitude E7470, BTX",1,1,"$2,463.86 ","$1,225.00 ",$0.00 ,$101.06 ,101.06,Invoiced,11/30/2016,12/1/2016,11/30/2016,12/5/2016,BWYSBG2,,FV9X322
US01990,35QPK12,Dell Inc.,Latitude E7440,Unassigned,laptop,10.132.0.176,Microsoft Windows 7 Professional x64,CPL,,1/16/2018 23:59,Active,,,,,,1,742,35QPK12,81,1,,35QPK12,35qpk12,35QPK12,CPLSE,CPLSE,132936491,SEC111722,812060925,XJNWKPJN5,,Desktops,OptiPlex Desktops,OPTIPLEX 3020,210-ABDX,OptiPlex 3020 Small Form Factor BTX Base,1,1,$791.37 ,$530.26 ,$0.00 ,$0.00 ,0,Invoiced,4/22/2015,4/30/2015,4/23/2015,4/23/2015,7F6ZC42,,35QPK12
US01982,BPKKR22,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.148.0.131,Microsoft Windows 7 Professional x64,CPL,,1/13/2018 23:59,Active,,,,,,1,744,BPKKR22,85,1,,BPKKR22,bpkkr22,BPKKR22,CPLSE,CPLSE,132936491,SEC115274,826253342,XJP7DJD53,,CS SOFTWARE AND PERIPHERALS,DISPLAYS,DELL-BRANDED,320-9775,Dell 20 Monitor - E2014H,0,1,$139.99 ,$109.19 ,$0.00 ,$0.00 ,0,Invoiced,5/19/2015,5/22/2015,5/21/2015,5/21/2015,,,BPKKR22
US08089,D37QR02,Dell Inc.,Venue 11 Pro 5130,Unassigned,laptop,10.148.140.79,Microsoft Windows 8.1 Pro,Check-In,,1/18/2016 23:59,Expired,,,,,,1,745,D37QR02,1473,1,,D37QR02,d37qr02,D37QR02,,,,,,,,,,,,,,,,,,,,,,,,,,,D37QR02
US01980,BNG1S22,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.148.44.155,Microsoft Windows 7 Professional x64,CPL,,1/14/2018 23:59,Active,,,,,,1,746,BNG1S22,1207,1,,BNG1S22,bng1s22,BNG1S22,CLINICAL PATHOLOGY LABORATORIE,CLINICAL PATHOLOGY LABORATORIE,137995733,CPL143597,935931697,XJW47J5F6,,Desktops,OptiPlex Desktops,OPTIPLEX 3020,210-ABDX,OptiPlex 3020 Small Form Factor BTX Base,2,2,"$1,778.51 ",$798.02 ,$0.00 ,$0.00 ,0,Invoiced,12/21/2015,12/23/2015,12/29/2015,12/29/2015,"3NHGN52,GKHGN52",,BNG1S22
US01979,BNBZR22,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.148.29.131,Microsoft Windows 7 Professional x64,CPL,,1/13/2018 23:59,Active,,,,,,1,747,BNBZR22,918,1,,BNBZR22,bnbzr22,BNBZR22,CLINICAL PATHOLOGY LABORATORIE,CLINICAL PATHOLOGY LABORATORIE,137995733,155667,833347087,XJPF15XF4,,EUC Mobility,Latitude,LATITUDE E7450,210-ADBD,"Dell Latitude E7450/7450, CTO",1,1,"$3,615.14 ","$2,169.07 ",$0.00 ,$0.00 ,0,Invoiced,5/29/2015,6/12/2015,6/6/2015,6/7/2015,7NTHR32,,BNBZR22
US01930,BNZJR22,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.148.138.235,Microsoft Windows 7 Professional x64,CPL,,1/13/2018 23:59,Active,,,,,,1,748,BNZJR22,276,1,,BNZJR22,bnzjr22,BNZJR22,CPLSE,SONIC HEALTHCARE USA,132936491,SEC154915,978176143,XJX7XMCR6,,CS Software and Peripherals,TVs,UNKNOWN,422-0052,"SW,MY-DELL,CRRS",0,-1,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,Invoiced,4/27/2016,4/27/2016,4/27/2016,4/27/2016,,,BNZJR22
US01985,DW4Z322,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.148.29.113,Microsoft Windows 7 Professional x64,CPL,,1/18/2018 23:59,Active,,,,,,1,756,DW4Z322,902,1,,DW4Z322,dw4z322,DW4Z322,CLINICAL PATHOLOGY LABORATORIE,CPL SRL,137995733,CPL115207,824777904,XJP879KJ7,,EUC Mobility,Latitude,LATITUDE E7450,210-ADBD,"Dell Latitude E7450/7450, CTO",2,2,"$4,854.29 ","$2,617.88 ",$0.00 ,$0.00 ,0,Invoiced,5/15/2015,6/1/2015,5/23/2015,5/24/2015,"8TVXQ32,9ZVXQ32",,DW4Z322
US07631,2TS0422,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.148.147.51,Microsoft Windows 7 Professional x64,CPL,,1/21/2018 23:59,Active,,,,,,1,758,"2TS0422,9RS0422,HWSW322",372,1,,2TS0422,2ts0422,2TS0422,CLINICAL PATHOLOGY LABORATORIE,CPL SRL,137995733,CPL186639,143155676,10125299269,10125299269,EUC Mobility,Latitude,LATITUDE E7450,210-ADBD,"Dell Latitude E7450/7450, CTO",1,1,"$2,978.71 ","$1,225.74 ",$0.00 ,$0.00 ,0,Invoiced,11/4/2016,11/14/2016,11/13/2016,11/14/2016,GVRYSC2,,2TS0422
US07584,HWSW322,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.148.196.182,Microsoft Windows 7 Professional x64,CPL,,1/21/2018 23:59,Active,,,,,,17,758,"2TS0422,9RS0422,HWSW322",640,17,,HWSW322,hwsw322,HWSW322,CLINICAL PATHOLOGY LABORATORIE,CPL,137995733,CPL81893,711527024,XJK68F5N7,,CS Software and Peripherals,TVs,UNKNOWN,468-4398,Late Fee Assessment,0,1,$3.00 ,$31.00 ,$0.00 ,$0.00 ,0,Invoiced,10/22/2014,10/28/2014,10/22/2014,10/22/2014,,,HWSW322
US01996,DXWB842,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.148.0.138,Microsoft Windows 7 Professional x64,CPL,,1/22/2018 23:59,Active,,,,,,9,760,"DMSB842,DXWB842",91,9,,DXWB842,dxwb842,DXWB842,CPLSE,CPLSE,132936491,SEC115272,826266500,XJP7DJF58,,CS SOFTWARE AND PERIPHERALS,DISPLAYS,DELL-BRANDED,320-9775,Dell 20 Monitor - E2014H,0,1,$139.99 ,$109.19 ,$0.00 ,$0.00 ,0,Invoiced,5/19/2015,5/22/2015,5/21/2015,5/21/2015,,,DXWB842
US01999,DMSB842,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.148.7.5,Microsoft Windows 7 Professional x64,CPL,,1/22/2018 23:59,Active,,,,,,1,760,"DMSB842,DXWB842",1387,1,,DMSB842,dmsb842,DMSB842,,,,,,,,,,,,,,,,,,,,,,,,,,,DMSB842
US02845,4B1C622,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.148.18.138,Microsoft Windows 7 Professional x64,CPL,,1/24/2018 23:59,Active,,,,,,1,764,"4B1C622,DD2B622,HJ65622",486,1,,4B1C622,4b1c622,4B1C622,CLINICAL PATHOLOGY LABORATORIE,CPL SRL,137995733,CPL-207555,206599853,10159850268,10159850268,EUC Mobility,Latitude,LATITUDE E7470,210-AETL,"Dell Latitude E7470, BTX",1,1,"$2,463.86 ","$1,225.00 ",$0.00 ,$101.05 ,101.05,Invoiced,4/10/2017,4/11/2017,4/10/2017,4/13/2017,91PGVF2,,4B1C622
US18159,HJ65622,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.148.194.28,Microsoft Windows 7 Professional x64,CPL,,1/24/2018 23:59,Active,,,,,,17,764,"4B1C622,DD2B622,HJ65622",613,17,,HJ65622,hj65622,HJ65622,CLINICAL PATHOLOGY LABORATORIE,CPL SRL,137995733,CPL81966,688557061,XJJKDMRD6,,Desktops,OptiPlex Desktops,OPTIPLEX 9020,210-AAOZ,OptiPlex 9020 Small Form Factor,7,7,"$8,381.95 ","$4,970.14 ",$0.00 ,$0.00 ,0,Invoiced,9/10/2014,9/12/2014,9/11/2014,9/11/2014,"CBJXZ12,CBJZZ12,CC5XZ12,CD00022,CD9XZ12,CDF0022,CDHZZ12",,HJ65622
US07898,5J6CV22,Dell Inc.,Venue 11 Pro 5130,Unassigned,laptop,10.148.0.161,Microsoft Windows 8.1 Pro,CPL,,2/8/2016 23:59,Expired,,,,,,49,771,"1J6CV22,1T6CV22,3J6CV22,3K6CV22,4J6CV22,5H6CV22,5J6CV22,6H6CV22,6S6CV22,7M6CV22,8D6CV22,DD6CV22,FG6CV22,GC6CV22,HF6CV22,HG6CV22,HH6CV22",103,49,,5J6CV22,5j6cv22,5J6CV22,CPLSE,CPLSE,132936491,SEC116304,832664672,XJP9P9P89,,CS SOFTWARE AND PERIPHERALS,DISPLAYS,DELL-BRANDED,858-BBBK,Dell 22 Monitor - E2214H,0,1,$179.99 ,$140.39 ,$0.00 ,$0.00 ,0,Invoiced,5/28/2015,6/2/2015,5/29/2015,5/29/2015,,,5J6CV22
US07898,5J6CV22,Dell Inc.,Venue 11 Pro 5130,Unassigned,laptop,10.148.0.161,Microsoft Windows 8.1 Pro,Check-In,,2/8/2016 23:59,Expired,,,,,,49,771,"1J6CV22,1T6CV22,3J6CV22,3K6CV22,4J6CV22,5H6CV22,5J6CV22,6H6CV22,6S6CV22,7M6CV22,8D6CV22,DD6CV22,FG6CV22,GC6CV22,HF6CV22,HG6CV22,HH6CV22",1449,49,,5J6CV22,5j6cv22,5J6CV22,,,,,,,,,,,,,,,,,,,,,,,,,,,5J6CV22
US07874,8D6CV22,Dell Inc.,Venue 11 Pro 5130,Unassigned,laptop,10.148.131.59,Microsoft Windows 8.1 Pro,Check-In,,2/8/2016 23:59,Expired,,,,,,81,771,"1J6CV22,1T6CV22,3J6CV22,3K6CV22,4J6CV22,5H6CV22,5J6CV22,6H6CV22,6S6CV22,7M6CV22,8D6CV22,DD6CV22,FG6CV22,GC6CV22,HF6CV22,HG6CV22,HH6CV22",1456,81,,8D6CV22,8d6cv22,8D6CV22,,,,,,,,,,,,,,,,,,,,,,,,,,,8D6CV22
US07952,5H6CV22,Dell Inc.,Venue 11 Pro 5130,Unassigned,laptop,10.148.132.107,Microsoft Windows 8.1 Pro,Check-In,,2/8/2016 23:59,Expired,,,,,,41,771,"1J6CV22,1T6CV22,3J6CV22,3K6CV22,4J6CV22,5H6CV22,5J6CV22,6H6CV22,6S6CV22,7M6CV22,8D6CV22,DD6CV22,FG6CV22,GC6CV22,HF6CV22,HG6CV22,HH6CV22",1457,41,,5H6CV22,5h6cv22,5H6CV22,,,,,,,,,,,,,,,,,,,,,,,,,,,5H6CV22
US07873,1T6CV22,Dell Inc.,Venue 11 Pro 5130,Unassigned,laptop,10.148.135.126,Microsoft Windows 8.1 Pro,Check-In,,2/8/2016 23:59,Expired,,,,,,9,771,"1J6CV22,1T6CV22,3J6CV22,3K6CV22,4J6CV22,5H6CV22,5J6CV22,6H6CV22,6S6CV22,7M6CV22,8D6CV22,DD6CV22,FG6CV22,GC6CV22,HF6CV22,HG6CV22,HH6CV22",1466,9,,1T6CV22,1t6cv22,1T6CV22,,,,,,,,,,,,,,,,,,,,,,,,,,,1T6CV22
US01660,HF6CV22,Dell Inc.,Venue 11 Pro 5130,Unassigned,laptop,10.148.138.139,Microsoft Windows 8.1 Pro,Check-In,,2/8/2016 23:59,Expired,,,,,,113,771,"1J6CV22,1T6CV22,3J6CV22,3K6CV22,4J6CV22,5H6CV22,5J6CV22,6H6CV22,6S6CV22,7M6CV22,8D6CV22,DD6CV22,FG6CV22,GC6CV22,HF6CV22,HG6CV22,HH6CV22",1470,113,,HF6CV22,hf6cv22,HF6CV22,,,,,,,,,,,,,,,,,,,,,,,,,,,HF6CV22
US08126,HH6CV22,Dell Inc.,Venue 11 Pro 5130,Unassigned,laptop,10.148.142.107,Microsoft Windows 8.1 Pro,Check-In,,2/8/2016 23:59,Expired,,,,,,129,771,"1J6CV22,1T6CV22,3J6CV22,3K6CV22,4J6CV22,5H6CV22,5J6CV22,6H6CV22,6S6CV22,7M6CV22,8D6CV22,DD6CV22,FG6CV22,GC6CV22,HF6CV22,HG6CV22,HH6CV22",1474,129,,HH6CV22,hh6cv22,HH6CV22,,,,,,,,,,,,,,,,,,,,,,,,,,,HH6CV22
US07879,4J6CV22,Dell Inc.,Venue 11 Pro 5130,Unassigned,laptop,10.148.143.244,Microsoft Windows 8.1 Pro,Check-In,,2/8/2016 23:59,Expired,,,,,,33,771,"1J6CV22,1T6CV22,3J6CV22,3K6CV22,4J6CV22,5H6CV22,5J6CV22,6H6CV22,6S6CV22,7M6CV22,8D6CV22,DD6CV22,FG6CV22,GC6CV22,HF6CV22,HG6CV22,HH6CV22",1476,33,,4J6CV22,4j6cv22,4J6CV22,,,,,,,,,,,,,,,,,,,,,,,,,,,4J6CV22
US07561,GC6CV22,Dell Inc.,Venue 11 Pro 5130,Unassigned,laptop,10.148.143.61,Microsoft Windows 8.1 Pro,Check-In,,2/8/2016 23:59,Expired,,,,,,105,771,"1J6CV22,1T6CV22,3J6CV22,3K6CV22,4J6CV22,5H6CV22,5J6CV22,6H6CV22,6S6CV22,7M6CV22,8D6CV22,DD6CV22,FG6CV22,GC6CV22,HF6CV22,HG6CV22,HH6CV22",1477,105,,GC6CV22,gc6cv22,GC6CV22,,,,,,,,,,,,,,,,,,,,,,,,,,,GC6CV22
US07875,7M6CV22,Dell Inc.,Venue 11 Pro 5130,Unassigned,laptop,10.148.151.155,Microsoft Windows 8.1 Pro,Check-In,,2/8/2016 23:59,Expired,,,,,,73,771,"1J6CV22,1T6CV22,3J6CV22,3K6CV22,4J6CV22,5H6CV22,5J6CV22,6H6CV22,6S6CV22,7M6CV22,8D6CV22,DD6CV22,FG6CV22,GC6CV22,HF6CV22,HG6CV22,HH6CV22",1485,73,,7M6CV22,7m6cv22,7M6CV22,,,,,,,,,,,,,,,,,,,,,,,,,,,7M6CV22
US07902,6H6CV22,Dell Inc.,Venue 11 Pro 5130,Unassigned,laptop,10.148.151.178,Microsoft Windows 8.1 Pro,Check-In,,2/8/2016 23:59,Expired,,,,,,57,771,"1J6CV22,1T6CV22,3J6CV22,3K6CV22,4J6CV22,5H6CV22,5J6CV22,6H6CV22,6S6CV22,7M6CV22,8D6CV22,DD6CV22,FG6CV22,GC6CV22,HF6CV22,HG6CV22,HH6CV22",1486,57,,6H6CV22,6h6cv22,6H6CV22,,,,,,,,,,,,,,,,,,,,,,,,,,,6H6CV22
US07872,1J6CV22,Dell Inc.,Venue 11 Pro 5130,Unassigned,laptop,10.148.151.58,Microsoft Windows 8.1 Pro,Check-In,,2/8/2016 23:59,Expired,,,,,,1,771,"1J6CV22,1T6CV22,3J6CV22,3K6CV22,4J6CV22,5H6CV22,5J6CV22,6H6CV22,6S6CV22,7M6CV22,8D6CV22,DD6CV22,FG6CV22,GC6CV22,HF6CV22,HG6CV22,HH6CV22",1488,1,,1J6CV22,1j6cv22,1J6CV22,,,,,,,,,,,,,,,,,,,,,,,,,,,1J6CV22
US07876,HG6CV22,Dell Inc.,Venue 11 Pro 5130,Unassigned,laptop,10.148.153.115,Microsoft Windows 8.1 Pro,Check-In,,2/8/2016 23:59,Expired,,,,,,121,771,"1J6CV22,1T6CV22,3J6CV22,3K6CV22,4J6CV22,5H6CV22,5J6CV22,6H6CV22,6S6CV22,7M6CV22,8D6CV22,DD6CV22,FG6CV22,GC6CV22,HF6CV22,HG6CV22,HH6CV22",1491,121,,HG6CV22,hg6cv22,HG6CV22,,,,,,,,,,,,,,,,,,,,,,,,,,,HG6CV22
US07877,DD6CV22,Dell Inc.,Venue 11 Pro 5130,Unassigned,laptop,10.148.157.139,Microsoft Windows 8.1 Pro,Check-In,,2/8/2016 23:59,Expired,,,,,,89,771,"1J6CV22,1T6CV22,3J6CV22,3K6CV22,4J6CV22,5H6CV22,5J6CV22,6H6CV22,6S6CV22,7M6CV22,8D6CV22,DD6CV22,FG6CV22,GC6CV22,HF6CV22,HG6CV22,HH6CV22",1497,89,,DD6CV22,dd6cv22,DD6CV22,,,,,,,,,,,,,,,,,,,,,,,,,,,DD6CV22
US7660,FG6CV22,Dell Inc.,Venue 11 Pro 5130,Unassigned,laptop,10.148.224.101,Microsoft Windows 8.1 Pro,Check-In,,2/8/2016 23:59,Expired,,,,,,97,771,"1J6CV22,1T6CV22,3J6CV22,3K6CV22,4J6CV22,5H6CV22,5J6CV22,6H6CV22,6S6CV22,7M6CV22,8D6CV22,DD6CV22,FG6CV22,GC6CV22,HF6CV22,HG6CV22,HH6CV22",1502,97,,FG6CV22,fg6cv22,FG6CV22,,,,,,,,,,,,,,,,,,,,,,,,,,,FG6CV22
US08022,3K6CV22,Dell Inc.,Venue 11 Pro 5130,Unassigned,laptop,10.148.50.135,Microsoft Windows 8.1 Pro,Check-In,,2/8/2016 23:59,Expired,,,,,,25,771,"1J6CV22,1T6CV22,3J6CV22,3K6CV22,4J6CV22,5H6CV22,5J6CV22,6H6CV22,6S6CV22,7M6CV22,8D6CV22,DD6CV22,FG6CV22,GC6CV22,HF6CV22,HG6CV22,HH6CV22",1511,25,,3K6CV22,3k6cv22,3K6CV22,,,,,,,,,,,,,,,,,,,,,,,,,,,3K6CV22
US07592,HXHB622,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.148.194.15,Microsoft Windows 7 Professional x64,CPL,,2/10/2018 23:59,Active,,,,,,9,778,"7YHB622,HXHB622",608,9,,HXHB622,hxhb622,HXHB622,CLINICAL PATHOLOGY LABORATORIE,CPL,137995733,CPL82040,688296470,XJJKDN339,,Desktops,OptiPlex Desktops,OPTIPLEX 9020,210-AAOZ,OptiPlex 9020 Small Form Factor,1,1,"$1,197.42 ",$710.02 ,$0.00 ,$0.00 ,0,Invoiced,9/10/2014,9/12/2014,9/11/2014,9/11/2014,CCRXZ12,,HXHB622
US07621,CPZF942,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.148.130.17,Microsoft Windows 7 Professional x64,CPL,,2/16/2018 23:59,Active,,,,,,153,782,"CNXG942,CNXH942,CPXG942,CPXH942,CPXJ942,CPY7942,CPY9942,CPYB942,CPYC942,CPYD942,CPYF942,CPYG942,CPYH942,CPZ7942,CPZ8942,CPZ9942,CPZB942,CPZC942,CPZD942,CPZF942,CPZG942",184,153,,CPZF942,cpzf942,CPZF942,CPLSE,CPLSE,132936491,SEC141151,928445747,XJTT6WFW5,,CS SOFTWARE AND PERIPHERALS,DISPLAYS,DELL-BRANDED,858-BBCW,Dell 20 Monitor E2016H,0,1,$139.99 ,$109.19 ,$0.00 ,$0.00 ,0,Invoiced,12/4/2015,12/7/2015,12/4/2015,12/4/2015,,,CPZF942
US07612,CPYH942,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.148.130.20,Microsoft Windows 7 Professional x64,CPL,,2/16/2018 23:59,Active,,,,,,97,782,"CNXG942,CNXH942,CPXG942,CPXH942,CPXJ942,CPY7942,CPY9942,CPYB942,CPYC942,CPYD942,CPYF942,CPYG942,CPYH942,CPZ7942,CPZ8942,CPZ9942,CPZB942,CPZC942,CPZD942,CPZF942,CPZG942",185,97,,CPYH942,cpyh942,CPYH942,CPLSE,CPLSE,132936491,SEC141151,928445747,XJTT6WFW5,,SUPPORT AND DEPLOYMENT,SUPPORT SERVICES,HARDWARE AND SOFTWARE SUPPORT ,983-2847,"3YR  Limited Warranty         Monitor, Advanced Exchange",0,1,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,Invoiced,12/4/2015,12/7/2015,12/4/2015,12/4/2015,,,CPYH942
US07610,CNXG942,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.148.130.21,Microsoft Windows 7 Professional x64,CPL,,2/16/2018 23:59,Active,,,,,,1,782,"CNXG942,CNXH942,CPXG942,CPXH942,CPXJ942,CPY7942,CPY9942,CPYB942,CPYC942,CPYD942,CPYF942,CPYG942,CPYH942,CPZ7942,CPZ8942,CPZ9942,CPZB942,CPZC942,CPZD942,CPZF942,CPZG942",187,1,,CNXG942,cnxg942,CNXG942,CPLSE,CPLSE,132936491,SEC141152,928447982,XJTT6WC84,,CS SOFTWARE AND PERIPHERALS,DISPLAYS,DELL-BRANDED,858-BBCW,Dell 20 Monitor E2016H,0,1,$139.99 ,$109.19 ,$0.00 ,$0.00 ,0,Invoiced,12/4/2015,12/7/2015,12/4/2015,12/4/2015,,,CNXG942
US07620,CPZ9942,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.148.130.24,Microsoft Windows 7 Professional x64,CPL,,2/16/2018 23:59,Active,,,,,,121,782,"CNXG942,CNXH942,CPXG942,CPXH942,CPXJ942,CPY7942,CPY9942,CPYB942,CPYC942,CPYD942,CPYF942,CPYG942,CPYH942,CPZ7942,CPZ8942,CPZ9942,CPZB942,CPZC942,CPZD942,CPZF942,CPZG942",191,121,,CPZ9942,cpz9942,CPZ9942,CPLSE,CPLSE,132936491,SEC141153,928449491,XJTT6WM63,,SUPPORT AND DEPLOYMENT,SUPPORT SERVICES,HARDWARE AND SOFTWARE SUPPORT ,983-2847,"3YR  Limited Warranty         Monitor, Advanced Exchange",0,1,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,Invoiced,12/4/2015,12/7/2015,12/4/2015,12/4/2015,,,CPZ9942
US07611,CPXJ942,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.148.130.27,Microsoft Windows 7 Professional x64,CPL,,2/16/2018 23:59,Active,,,,,,33,782,"CNXG942,CNXH942,CPXG942,CPXH942,CPXJ942,CPY7942,CPY9942,CPYB942,CPYC942,CPYD942,CPYF942,CPYG942,CPYH942,CPZ7942,CPZ8942,CPZ9942,CPZB942,CPZC942,CPZD942,CPZF942,CPZG942",192,33,,CPXJ942,cpxj942,CPXJ942,CPLSE,CPLSE,132936491,SEC146007,942461183,XJW71JXK6,,Desktops,OptiPlex Desktops,OPTIPLEX 3020,210-ABDX,OptiPlex 3020 Small Form Factor BTX Base,1,1,$784.19 ,$428.69 ,$0.00 ,$0.00 ,0,Invoiced,1/12/2016,1/13/2016,1/12/2016,1/12/2016,G0BY082,,CPXJ942
US07618,CPXH942,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.148.148.203,Microsoft Windows 7 Professional x64,CPL,,2/16/2018 23:59,Active,,,,,,25,782,"CNXG942,CNXH942,CPXG942,CPXH942,CPXJ942,CPY7942,CPY9942,CPYB942,CPYC942,CPYD942,CPYF942,CPYG942,CPYH942,CPZ7942,CPZ8942,CPZ9942,CPZB942,CPZC942,CPZD942,CPZF942,CPZG942",380,25,,CPXH942,cpxh942,CPXH942,CLINICAL PATHOLOGY LABORATORIE,CLINICAL PATHOLOGY LABORATIES,137995733,CPL187436,144539134,10124959814,10124959814,CS SOFTWARE AND PERIPHERALS,CLIENT PERIPHERALS,DELL-BRANDED,331-6304,"E-Port Plus, 130W Advanced Port Replicator, USB 3.0 for Latitude E-Family, Customer Kit",0,5,"$1,099.95 ",$725.95 ,$0.00 ,$0.00 ,0,Invoiced,11/10/2016,11/11/2016,11/10/2016,11/14/2016,,,CPXH942
US14614,CPY7942,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.148.148.206,Microsoft Windows 7 Professional x64,CPL,,2/16/2018 23:59,Active,,,,,,41,782,"CNXG942,CNXH942,CPXG942,CPXH942,CPXJ942,CPY7942,CPY9942,CPYB942,CPYC942,CPYD942,CPYF942,CPYG942,CPYH942,CPZ7942,CPZ8942,CPZ9942,CPZB942,CPZC942,CPZD942,CPZF942,CPZG942",382,41,,CPY7942,cpy7942,CPY7942,CLINICAL PATHOLOGY LABORATORIE,CPL SRL,137995733,CPL187800,144633929,10124945477,10124945477,Desktops,OptiPlex Desktops,OPTIPLEX 3040,210-AFXK,OptiPlex 3040 Small Form Factor XCTO,3,3,"$2,614.28 ","$1,332.00 ",$0.00 ,$0.00 ,0,Invoiced,11/10/2016,11/15/2016,11/12/2016,11/13/2016,"J5HPMD2,J5HQMD2,J5HRMD2",,CPY7942
US07617,CPYB942,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.148.148.214,Microsoft Windows 7 Professional x64,CPL,,2/16/2018 23:59,Active,,,,,,57,782,"CNXG942,CNXH942,CPXG942,CPXH942,CPXJ942,CPY7942,CPY9942,CPYB942,CPYC942,CPYD942,CPYF942,CPYG942,CPYH942,CPZ7942,CPZ8942,CPZ9942,CPZB942,CPZC942,CPZD942,CPZF942,CPZG942",383,57,,CPYB942,cpyb942,CPYB942,CLINICAL PATHOLOGY LABORATORIE,CPL SRL,137995733,CPL183208,144870034,10125694227,10125694227,Tablet Devices,Tablets,LATITUDE 5175,210-AGFW,Dell Latitude 11 5175,1,1,"$1,082.00 ",$629.72 ,$0.00 ,$0.00 ,0,Invoiced,11/11/2016,11/21/2016,11/15/2016,11/15/2016,C9ZWTC2,,CPYB942
US07608,CPYF942,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.148.149.107,Microsoft Windows 7 Professional x64,CPL,,2/16/2018 23:59,Active,,,,,,81,782,"CNXG942,CNXH942,CPXG942,CPXH942,CPXJ942,CPY7942,CPY9942,CPYB942,CPYC942,CPYD942,CPYF942,CPYG942,CPYH942,CPZ7942,CPZ8942,CPZ9942,CPZB942,CPZC942,CPZD942,CPZF942,CPZG942",387,81,,CPYF942,cpyf942,CPYF942,CLINICAL PATHOLOGY LABORATORIE,CLINICAL PATHOLOGY LABORATORIE,137995733,SHC-183672,158714567,10131632560,10131632560,CS Software and Peripherals,Displays,DELL MONITOR P2417H,210-AIIO,"Dell 24 Monitor - P2417H, without stand",2,2,$559.98 ,$436.78 ,$0.00 ,$36.03 ,36.03,Invoiced,11/22/2016,12/8/2016,11/29/2016,12/1/2016,"1D3TRB2,JC3TRB2",,CPYF942
US01923,DYD9842,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.148.136.43,Microsoft Windows 7 Professional x64,CPL,,2/21/2018 23:59,Active,,,,,,17,792,"DR8B842,DS6D842,DYD9842",259,17,,DYD9842,dyd9842,DYD9842,CPLSE,SONIC HEALTHCARE USA,132936491,SEC154915,978176143,XJX7XMCR6,,CS Software and Peripherals,TVs,UNKNOWN,340-AAPP,Direct ship Info Mod,0,-6,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,Invoiced,4/27/2016,4/27/2016,4/27/2016,4/27/2016,,,DYD9842
US01924,DR8B842,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.148.136.44,Microsoft Windows 7 Professional x64,CPL,,2/21/2018 23:59,Active,,,,,,1,792,"DR8B842,DS6D842,DYD9842",260,1,,DR8B842,dr8b842,DR8B842,CPLSE,SONIC HEALTHCARE USA,132936491,SEC154915,978176143,XJX7XMCR6,,CS Software and Peripherals,TVs,UNKNOWN,340-AKUE,Latitude E7450/7450 Software and Drivers,0,-6,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,Invoiced,4/27/2016,4/27/2016,4/27/2016,4/27/2016,,,DR8B842
